WildType_Yaviza,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Male,Copulate,244,496,0.0355,0.0206,48.205,54,2.008,5.062,1.978,5.089
Male,Copulate,236,474,0.0288,0.0147,25.275,54.6,1.785,4.682,1.819,4.718
Male,Copulate,239,491,0.0286,0.0114,7.941,54.4,1.875,,1.889,4.742
Male,Copulate,238,478,0.0278,0.011,67.431,52,1.85,5.001,1.873,5.038
Male,Copulate,252,513,0.0311,0.0127,27.214,51.7,1.921,5.011,1.948,5.006
Male,Copulate,228,456,0.0389,0.0177,24.677,49.8,2.085,5.451,2.111,5.453
Male,Copulate,236,477,0.0323,0.0137,24.555,56,1.875,4.9,1.859,
Male,Copulate,199,411,0.0293,0.0124,14.959,54.5,1.99,5.17,2.109,5.151
Male,Copulate,214,452,0.0334,0.0134,2.171,52.8,1.968,5.161,1.945,5.123
Male,Copulate,241,496,0.0313,0.0158,40.531,57.3,1.966,5.039,1.93,5.033
Male,Copulate,262,536,0.0322,0.0114,201.498,53.8,1.998,5.28,1.969,5.268
Male,Copulate,240,490,0.034,0.0123,9.648,49.7,2.053,5.257,2.08,5.301
Male,Copulate,236,473,0.0347,0.016,12.045,57.9,1.981,5.095,1.97,5.132
Male,Copulate,211,429,0.0273,0.0097,149.171,61,1.902,4.967,1.865,4.987
Male,Copulate,245,502,0.0369,0.0174,115.159,52.3,2.04,5.258,1.917,5.317
Male,Copulate,238,472,0.0407,0.0182,21.815,58,2.097,5.391,2.069,5.396
Male,Copulate,220,447,0.0357,0.0159,2.09,55.5,1.972,5.094,2.007,5.081
Male,Copulate,242,495,0.0286,0.0101,52.907,52.7,1.834,4.824,1.824,4.813
Male,Copulate,222,452,0.0405,0.0185,5.84,52.1,2.152,5.552,2.142,5.558
Male,Copulate,236,467,0.0477,0.0309,33.669,54.9,,,2.09,5.528
Female,Virgin,170,348,0.0351,0.014,96.178,51.6,1.998,4.673,1.939,4.619
Female,Virgin,228,457,0.02,0.0083,111.689,51.3,1.769,4.194,1.855,4.679
Female,Virgin,231,466,0.034,0.0127,28.378,51,1.971,4.696,1.855,4.679
Female,Virgin,219,435,0.0307,0.0117,173.079,57.5,1.88,4.58,1.918,4.653
Female,Virgin,194,393,0.0277,0.0098,70.624,52.1,1.861,4.653,1.865,4.672
Female,Virgin,234,476,0.0339,0.0123,80.731,51,2.002,4.949,2.016,4.968
Female,Virgin,172,347,0.0383,0.0131,42.475,54.1,2.023,4.82,1.979,4.823
Female,Virgin,196,405,0.0302,0.0098,36.995,53.1,1.88,4.544,1.86,4.592
Female,Virgin,220,450,0.037,0.0133,86.097,59.2,2.09,4.693,2.071,4.71
Female,Virgin,237,478,0.0317,0.0113,26.453,50.1,1.961,4.618,1.965,4.66
Female,Virgin,226,445,0.0296,0.0089,112.536,51.4,1.871,4.448,1.92,4.551
Female,Virgin,209,431,0.0356,0.0119,195.954,54.2,1.946,4.659,1.87,4.676
Female,Virgin,197,414,0.037,0.0117,206.908,48.5,1.979,4.578,1.933,4.636
Female,Virgin,216,421,0.0324,0.0095,210,48.3,1.904,4.4,1.862,4.426
Female,Virgin,211,414,0.0357,0.0116,9.143,46,1.915,4.635,1.949,4.633
Female,Virgin,214,431,0.0359,0.0112,64.737,56.1,1.969,4.656,1.989,4.635
Female,Virgin,242,487,0.0366,0.0133,194.726,53.7,1.988,,1.97,
Female,Virgin,254,509,0.0359,0.0107,168.081,47.6,1.88,4.479,1.886,4.483
Female,Virgin,225,460,0.0381,0.0119,161.254,50.7,1.953,4.544,1.978,4.539
Female,Virgin,246,493,0.039,0.013,78.652,46.4,1.909,4.652,1.949,4.644
Female,Virgin,222,447,0.0355,0.0114,59.188,56,1.842,4.404,1.858,4.464
Female,Virgin,243,497,0.0401,0.0122,189.319,47.4,1.979,,1.899,
Female,Virgin,283,425,0.038,0.0132,53.174,53.8,1.944,4.643,1.92,4.662
Female,Virgin,237,491,0.037,0.013,152.225,56.8,1.885,,1.914,
Female,Virgin,212,427,0.05,0.0193,77.854,52.2,2.076,4.84,2.054,4.909
Female,Virgin,195,408,0.0363,0.0139,210,58.6,1.911,4.585,1.928,4.616
Female,Virgin,248,505,0.0257,0.0079,110.85,55.5,1.78,,1.792,
Female,Virgin,226,451,0.0365,0.0136,81.392,49,1.942,4.57,1.966,4.576
Female,Virgin,243,500,0.0412,0.014,196.191,48,1.998,,1.973,4.607
Female,Virgin,226,496,0.042,0.0166,92.189,46.7,2.022,4.683,2.009,4.74
Female,Virgin,198,405,0.0358,0.0104,114.864,58.4,1.973,4.716,1.978,4.706
Female,Virgin,236,468,0.0246,0.0068,190.137,52.2,1.786,4.361,1.836,4.31
Female,Virgin,188,370,0.0333,0.0105,205.851,49,1.916,4.661,1.992,4.732
Female,Virgin,194,390,0.0277,0.0079,209.259,56.9,1.825,4.297,1.831,4.425
Female,Virgin,212,427,0.0285,0.0078,154.251,51.2,1.842,,1.803,4.549
Female,Virgin,242,454,0.0266,0.0075,209.894,55.7,1.808,4.355,1.783,4.364
Female,Virgin,230,466,0.0337,0.0098,156.375,52.5,1.887,4.587,1.92,4.66
Female,Virgin,212,455,0.0312,0.009,210,50.7,1.826,4.498,1.801,4.509
Female,Virgin,240,508,0.0295,0.0114,196.398,48.7,1.935,4.649,1.958,4.688
Female,Virgin,203,412,0.0324,0.0102,158.697,46.4,1.972,4.665,1.966,4.717
Female,Virgin,230,463,0.0347,0.0107,67.077,49.9,1.993,4.757,2.022,4.812
Female,Virgin,242,488,0.0361,0.0117,192.866,45.4,1.847,4.568,1.892,4.593
Female,Virgin,238,486,0.024,0.0068,92.375,51.2,1.709,4.076,1.674,4.081
Female,Virgin,219,454,0.0325,0.0099,175.848,52.3,1.899,4.565,1.853,4.547
Female,Virgin,231,457,0.0319,0.0091,210,49.4,1.73,4.435,1.867,4.436
Female,Virgin,214,425,0.0329,0.0096,210,50.4,1.814,4.509,1.912,4.562
Female,Virgin,239,509,0.0409,0.0126,210,56.9,1.92,4.711,1.987,4.793
Female,Virgin,209,432,0.0333,0.0112,159.197,47.8,1.988,4.55,2.043,4.66
Female,Virgin,237,493,0.0169,0.005,116.989,58.3,1.531,3.758,1.53,3.781
Female,Virgin,248,528,0.034,0.0099,126.363,57,1.936,,,
Female,Virgin,236,475,0.0281,0.0138,21.316,55.4,1.781,4.303,1.825,4.321
Female,Virgin,232,462,0.0328,0.0152,203.416,50.1,2.066,4.488,,4.586
Female,Virgin,184,366,0.0327,0.0178,170.212,54.7,1.909,4.55,1.909,4.615
Female,Virgin,225,450,0.0281,0.0135,104.354,51.5,1.883,4.435,1.925,4.47
Female,Virgin,232,462,0.0296,0.0157,74.966,51.2,1.682,4.207,1.846,4.342
Female,Virgin,202,417,0.0351,0.0193,68.789,60,1.92,4.416,1.909,4.414
Female,Virgin,200,425,0.0318,0.0151,27.968,54.4,1.88,4.576,1.9,4.566
Female,Virgin,190,379,0.032,0.0142,15.325,49.9,1.956,4.515,1.928,4.565
Female,Virgin,193,389,0.0344,0.0182,165.785,54.2,2.025,4.461,2.028,4.475
Female,Virgin,196,409,0.0374,0.0184,174.322,50.9,1.967,4.551,1.956,4.565
Female,Copulate,223,451,0.0424,0.0139,6.223,63.4,1.976,,1.995,4.783
Female,Copulate,225,452,0.0363,0.0118,25.321,63.7,1.989,4.806,1.978,4.818
Female,Copulate,222,460,0.0302,0.0116,90.59,64,1.914,4.472,1.92,4.454
Female,Copulate,230,455,0.0369,0.0116,21.461,68.6,1.945,4.72,1.963,4.719
Female,Copulate,199,406,0.0384,0.0109,210,62.9,1.996,4.617,1.99,4.592
Female,Copulate,240,490,0.0356,0.0119,6.856,62.2,1.96,4.554,1.983,4.555
Female,Copulate,238,489,0.034,0.0134,32.218,57.4,1.832,4.379,1.897,4.36
Female,Copulate,215,420,0.0352,0.0135,5.033,65.4,1.972,4.676,1.985,4.642
Female,Copulate,245,503,0.0468,0.0152,177.715,58.4,2.059,,2.089,
Female,Copulate,254,509,0.0464,0.0198,158.094,56.1,2.022,4.631,2.021,4.631
Female,Copulate,243,494,0.0469,0.02,15.836,54.8,2.002,4.643,2.011,4.629
Female,Copulate,239,477,0.0343,0.0154,90.012,56.1,1.834,4.291,1.776,4.287
Female,Copulate,239,485,0.0384,0.0154,27.968,54.6,2.021,4.611,1.989,4.593
