J06_No_Irrad,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Male,Copulate,182,578,0.0267,0.0078,3.495,50.1,2.008,4.902,1.917,4.886
Male,Copulate,247,515,0.0226,0.009,17.415,61.9,,,1.814,4.766
Male,Copulate,213,435,0.0349,0.0093,2.752,51.7,2.031,5.26,1.965,
Male,Copulate,220,448,0.0321,0.0094,8.8,54.7,1.908,,2.048,5.303
Male,Copulate,230,469,0.0416,0.0115,4.447,49.1,2.124,5.458,1.965,5.479
Male,Copulate,242,440,0.0356,0.0102,4.6,61.1,1.973,,1.987,
Male,Copulate,231,454,0.0376,0.0114,22.616,50.5,,,2.206,5.503
Male,Copulate,250,508,0.042,0.0129,10.382,45.5,2.218,,2.193,5.648
Male,Copulate,229,451,0.0327,0.012,10.507,59.7,1.933,,1.919,5.07
Male,Copulate,239,490,0.0367,0.0146,3.059,60.1,2.01,5.231,,
Male,Copulate,227,453,0.0344,0.0115,7.639,51.5,1.985,5.245,2.016,
Male,Copulate,261,531,0.0353,0.0107,7.245,59.1,,,2.011,
Male,Copulate,250,515,0.0363,0.0096,71.198,45.5,1.946,5.334,1.921,5.338
Male,Copulate,243,494,0.0392,0.0111,1.892,47.5,1.964,5.421,2.137,5.44
Male,Copulate,245,587,0.0394,0.0154,0.448,62.6,1.943,5.038,,
Male,Copulate,231,461,0.0345,0.0093,4.214,48.4,2.067,,2.072,5.365
Male,Copulate,239,485,0.0414,0.0092,32.682,53.5,1.875,5.34,1.904,5.312
Male,Copulate,245,517,0.0415,0.0146,97.437,42.5,2.037,5.303,2.066,5.315
Male,Copulate,240,485,0.0383,0.0101,55.635,55.6,1.983,,1.936,5.365
Male,Copulate,277,581,0.0346,0.0104,4.545,61.3,,,,
Male,Copulate,233,464,0.0354,0.0091,77.637,54.5,1.922,4.984,,
Male,Copulate,202,414,0.0285,0.0089,13.607,59,1.84,,1.842,4.929
Male,Copulate,217,452,0.0453,0.0109,32.732,46.6,1.977,5.329,2.014,5.346
Male,Copulate,219,441,0.032,0.0105,36.903,48.2,,,1.889,5.188
