J06_Irrad,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Male,Copulate,221,443,0.045,0.0213,88.143,53,2.048,5.312,1.999,5.34
Male,Copulate,224,451,0.0372,0.0168,3.092,48.9,1.925,5.052,1.925,5.108
Male,Copulate,197,398,0.0323,0.0108,141.28,51.1,1.969,5.189,1.863,5.216
Male,Copulate,233,471,0.0455,0.0191,45.441,53.3,1.947,5.492,2.09,5.482
Male,Copulate,196,418,0.0325,0.0111,10.36,60.7,1.949,5.101,1.948,5.101
Male,Copulate,218,456,0.065,0.0336,128.987,49.4,2.198,5.563,2.204,5.571
Male,Copulate,196,429,0.0381,0.0144,115.177,64.9,2.034,,1.959,
Male,Copulate,188,373,0.0283,0.0095,2.647,60.3,2.05,5.217,2.036,5.314
Male,Copulate,183,383,0.0304,0.0107,11.714,46.9,2.048,5.377,1.999,5.42
Male,Copulate,194,409,0.0299,0.01,3.379,60,2.017,5.19,1.98,5.285
Male,Copulate,158,329,0.0304,0.0106,40.24,61.8,1.837,,1.945,5.443
Male,Copulate,186,366,0.0253,0.0086,11.505,56.8,1.926,,1.906,5.122
Male,Copulate,173,366,0.0341,0.0118,14.373,53.7,2.102,5.566,2.07,5.642
Male,Copulate,169,353,0.0313,0.011,0.522,51.9,2.066,5.55,2.077,5.5
Male,Copulate,200,417,0.0256,0.0086,22.361,57.9,1.761,5.165,1.716,5.183
Male,Copulate,194,390,0.031,0.0096,51.949,49.5,1.959,5.191,1.874,5.193
Male,Copulate,186,397,0.0301,0.01,3.692,60.5,2.066,5.329,2.06,5.275
Male,Copulate,158,322,0.0324,0.0104,4.087,52.3,2.2,5.567,2.146,5.62
Male,Copulate,246,412,0.0316,0.0098,1.115,54.6,2.09,5.361,1.98,5.374
Male,Copulate,153,456,0.0271,0.0095,3.042,54.7,1.889,5.122,1.86,5.12
Male,Copulate,164,331,0.035,0.0117,25.554,63.1,2.169,5.612,,
Male,Copulate,158,366,0.0314,0.0104,2.577,59.1,2.148,5.486,2.149,5.582
Male,Copulate,223,506,0.0248,0.0079,3.808,58.2,1.975,5.076,,
Male,Copulate,160,319,0.0423,0.014,3.053,59.7,2.299,5.763,2.26,5.852
Male,Copulate,164,370,0.027,0.0088,1.492,67.7,1.976,,1.969,
Male,Copulate,162,367,0.0265,0.009,7.279,67.1,1.812,5.2,1.894,5.25
Male,Copulate,149,304,0.0335,0.0102,16.126,67,2.034,5.316,2.067,5.332
Female,Virgin,195,403,0.0349,0.0112,210,54.8,1.92,4.725,1.957,4.717
Female,Virgin,226,466,0.0422,0.0135,68.145,51.4,1.9,4.802,2.027,4.868
Female,Virgin,239,483,0.0386,0.0119,65.707,51,1.995,4.822,2.021,4.864
Female,Virgin,198,412,0.0439,0.0133,200.662,50.8,2.063,5.085,2.07,5.167
Female,Virgin,228,459,0.0376,0.0134,210,50.8,2.064,4.875,2.107,4.927
Female,Virgin,239,508,0.0314,0.0098,112.82,49.5,1.996,,1.953,4.649
Female,Virgin,221,441,0.0311,0.0084,201.387,55.1,1.967,4.543,1.946,4.615
Female,Virgin,237,482,0.0334,0.0101,194.18,47.7,1.885,,1.825,
Female,Virgin,230,466,0.0396,0.0129,30.256,49.6,2.083,4.926,2.068,4.949
Female,Virgin,221,447,0.0311,0.0105,96.642,47.7,1.989,4.772,1.819,4.839
Female,Virgin,240,497,0.0354,0.0105,131.506,52.1,1.926,4.494,1.959,4.646
Female,Virgin,234,483,0.0361,0.0113,169.831,53.7,2.128,4.994,2.057,4.996
Female,Virgin,237,483,0.045,0.0129,56.558,50.8,2.095,,1.98,4.881
Female,Virgin,237,476,0.0418,0.0148,97.988,46.3,1.98,,1.968,
Female,Virgin,237,475,0.0371,0.0131,10.902,52.7,1.84,4.686,1.92,
Female,Virgin,255,523,0.0392,0.0118,69.788,51,1.845,4.561,1.949,4.644
Female,Virgin,277,552,0.0443,0.0136,114.156,44.4,1.933,4.831,2.061,4.951
Female,Virgin,239,492,0.0357,0.0111,188.076,48.3,1.872,4.62,1.985,4.667
Female,Virgin,224,463,0.0346,0.0112,189.03,51.7,1.94,,1.934,4.812
Female,Virgin,194,411,0.0361,0.0116,121.702,51.9,1.97,4.626,1.942,4.684
Female,Virgin,221,443,0.0396,0.0112,147.816,53.7,1.96,4.791,1.966,4.886
Female,Virgin,197,415,0.0392,0.0122,210,52.5,1.877,4.885,1.955,4.92
Female,Virgin,225,452,0.0349,0.0111,46.289,49.8,1.994,4.873,1.954,4.865
Female,Virgin,213,433,0.0444,0.0156,85.589,55.9,1.905,4.973,2.021,5.02
Female,Virgin,241,497,0.0307,0.0097,57.365,55,1.899,4.595,2.01,4.649
Female,Virgin,234,464,0.035,0.0111,210,47,1.973,,1.796,4.686
Female,Virgin,228,472,0.0374,0.0106,192.375,48.9,1.878,,2.042,4.899
Female,Virgin,215,435,0.0429,0.0136,112.106,51.9,2.082,4.705,2.103,
Female,Virgin,199,442,0.0362,0.0116,206.803,60.9,1.969,4.518,2.014,4.606
Female,Virgin,246,495,0.0316,0.01,55.786,47,1.839,4.551,1.836,4.552
Female,Virgin,236,464,0.0301,0.008,144.603,49.5,1.939,,1.906,4.582
Female,Virgin,231,460,0.0432,0.0135,190.529,50.4,2.172,4.929,2.074,4.921
Female,Virgin,234,463,0.0375,0.0109,32.479,48.4,1.94,4.696,1.933,4.697
Female,Virgin,207,427,0.0398,0.0127,78.042,50.7,2.096,,2.151,4.787
Female,Virgin,232,481,0.0355,0.0113,64.459,49.7,1.902,4.816,2.041,4.838
Female,Virgin,222,461,0.0359,0.0122,174.602,54,1.805,4.561,1.828,4.59
Female,Virgin,224,453,0.0488,0.0151,183.459,50.1,2.11,4.869,1.98,5.014
Female,Virgin,237,497,0.0265,0.0089,207.837,45.8,1.947,4.436,1.974,4.467
Female,Virgin,229,454,0.0398,0.012,99.103,51.6,2.049,4.813,2.022,4.877
Female,Virgin,203,409,0.0367,0.0119,120.291,52.1,1.92,4.635,1.865,4.643
Female,Virgin,235,474,0.0419,0.0149,89.757,46.4,2.102,5.075,2.189,5.111
Female,Virgin,238,489,0.0339,0.01,210,55.9,2.027,4.845,1.988,4.845
Female,Virgin,229,456,0.035,0.0101,195.42,54.1,1.953,4.644,1.932,4.711
