group,gender,WB_Arm1,WB_Arm2
J06_Irrad,Female,197,415
J06_Irrad,Female,225,452
J06_Irrad,Female,213,433
J06_Irrad,Female,241,497
J06_Irrad,Female,234,464
J06_Irrad,Female,228,472
J06_Irrad,Female,215,435
J06_Irrad,Female,199,442
J06_Irrad,Female,246,495
J06_Irrad,Female,236,464
J06_Irrad,Female,231,460
J06_Irrad,Female,234,463
J06_Irrad,Female,207,427
J06_Irrad,Female,232,481
J06_Irrad,Female,222,461
J06_Irrad,Female,224,453
J06_Irrad,Female,237,497
J06_Irrad,Female,229,454
J06_Irrad,Female,203,409
J06_Irrad,Female,235,474
J06_Irrad,Female,238,489
J06_Irrad,Female,229,456
J06_Irrad,Female,237,481
J06_Irrad,Female,197,416
J06_Irrad,Female,227,457
J06_Irrad,Female,231,457
J06_Irrad,Female,217,447
J06_Irrad,Female,192,401
J06_Irrad,Female,229,458
J06_Irrad,Female,216,453
J06_Irrad,Female,221,444
J06_Irrad,Female,237,483
J06_Irrad,Female,237,474
J06_Irrad,Female,220,441
J06_Irrad,Female,206,424
J06_Irrad,Female,243,490
J06_Irrad,Female,236,463
J06_Irrad,Female,236,480
J06_Irrad,Female,236,482
J06_Irrad,Female,189,378
J06_Irrad,Female,210,433
J06_Irrad,Female,210,424
J06_Irrad,Female,195,386
J06_Irrad,Female,227,452
J06_Irrad,Female,197,393
J06_Irrad,Female,220,443
J06_Irrad,Female,225,452
J06_Irrad,Female,206,452
J06_Irrad,Female,217,439
J06_Irrad,Female,239,494
J06_Irrad,Female,198,407
J06_Irrad,Female,222,446
J06_Irrad,Female,233,468
J06_Irrad,Female,217,432
J06_Irrad,Female,214,437
J06_Irrad,Female,232,462
J06_Irrad,Female,219,438
J06_Irrad,Female,226,459
J06_Irrad,Female,186,368
J06_Irrad,Female,227,455
J06_Irrad,Female,215,428
J06_Irrad,Female,236,474
J06_Irrad,Female,204,422
J06_Irrad,Female,219,431
J06_Irrad,Female,215,436
J06_Irrad,Female,227,455
J06_Irrad,Female,199,423
J06_Irrad,Female,232,462
J06_Irrad,Female,216,431
J06_Irrad,Female,201,409
J06_Irrad,Female,217,444
J06_Irrad,Female,177,374
J06_Irrad,Female,223,456
J06_Irrad,Female,220,447
J06_Irrad,Female,223,450
J06_Irrad,Female,215,443
J06_Irrad,Female,203,418
J06_Irrad,Female,221,454
J06_Irrad,Female,193,378
J06_Irrad,Female,194,409
J06_Irrad,Female,195,409
J06_Irrad,Female,236,478
J06_Irrad,Female,215,448
J06_Irrad,Female,229,469
J06_Irrad,Female,216,445
J06_Irrad,Female,226,458
J06_Irrad,Female,227,457
J06_Irrad,Female,194,417
J06_Irrad,Female,224,453
J06_Irrad,Female,233,466
J06_Irrad,Female,197,410
J06_Irrad,Female,232,463
J06_Irrad,Female,237,479
J06_Irrad,Female,228,456
J06_Irrad,Female,220,450
J06_Irrad,Female,201,409
J06_Irrad,Female,206,416
J06_Irrad,Female,237,491
J06_Irrad,Female,210,432
WildType_Yaviza,Male,240,492
WildType_Yaviza,Male,217,443
WildType_Yaviza,Male,228,455
WildType_Yaviza,Male,251,501
WildType_Yaviza,Male,220,443
WildType_Yaviza,Male,231,463
WildType_Yaviza,Male,229,485
WildType_Yaviza,Male,226,445
WildType_Yaviza,Male,218,449
WildType_Yaviza,Male,211,441
WildType_Yaviza,Male,234,477
WildType_Yaviza,Male,180,363
WildType_Yaviza,Male,223,452
WildType_Yaviza,Male,233,474
WildType_Yaviza,Male,177,365
WildType_Yaviza,Male,217,433
WildType_Yaviza,Male,214,428
WildType_Yaviza,Male,230,462
WildType_Yaviza,Male,226,452
WildType_Yaviza,Male,240,483
WildType_Yaviza,Male,247,513
WildType_Yaviza,Male,244,493
WildType_Yaviza,Male,225,479
WildType_Yaviza,Male,236,491
WildType_Yaviza,Male,233,473
WildType_Yaviza,Male,239,487
WildType_Yaviza,Male,241,488
WildType_Yaviza,Male,228,457
